ID	Stratum	Region	Reference
418	4	NEAS	0.055485779
419	4	LAM	0.093989459
420	4	NEAS	0.195035129
421	4	NAM	0.04103596
422	4	AFR	0.140320135
423	4	NAM	0.008747935
424	4	LAM	0.04277292
425	4	AFR	0.177137963
426	4	LAM	0.021262963
427	4	NEAS	0.013600135
428	4	NEAS	0.311306206
429	4	SEAS	0.047265432
430	4	AFR	0.070056783
431	4	LAM	0.008200971
432	4	LAM	0.097417706
433	4	SEAS	0.185972965
434	4	NAM	0.085592869
435	4	AFR	0.046219753
436	4	AFR	0.006573467
437	4	NEAS	0
438	4	LAM	0.002127027
439	4	SEAS	0.01570216
440	4	NEAS	0.072438144
441	4	AFR	0.049917434
442	4	AFR	0.072133951
443	4	NAM	0.049564565
444	4	AFR	0.068873321
445	4	AFR	0.004949662
446	4	LAM	0.035732601
447	4	AFR	0.05819537
448	4	NEAS	0.090877092
449	4	NAM	0.04734281
450	4	AFR	0.024695639
451	4	NAM	0.046942063
452	4	SEAS	0.031147854
453	4	NEAS	0
454	4	NEAS	0.017274364
455	4	LAM	0.227626182
456	4	NEAS	0.184659329
457	4	LAM	0.012380952
458	4	AFR	0.03264238
459	4	NEAS	0.023198772
460	4	AFR	0.021423077
461	4	AFR	0.000234439
462	4	AFR	0.055625926
463	4	AFR	0.029410867
464	4	AFR	0.029476608
465	4	NAM	0.03305719
466	4	NEAS	0.001010216
467	4	SEAS	0.039596296
468	4	LAM	0.027443853
469	4	NAM	0
470	4	SEAS	0.057394383
471	4	AFR	0.033130631
472	4	NEAS	0.159935647
473	4	AFR	0.008125763
474	4	LAM	0.04335856
475	4	LAM	0
476	4	AUS	0.130387661
477	4	LAM	0.042993247
478	4	NEAS	0
479	4	LAM	0.039684676
480	4	AFR	0.001290598
481	4	NEAS	0.040968094
482	4	AFR	0.047404321
483	4	SEAS	0.116621914
484	4	NAM	0.196786629
485	4	LAM	0.041536728
486	4	NAM	0.03863749
487	4	NAM	0
488	4	NEAS	0.145921396
489	4	LAM	0.082076638
490	4	SEAS	0.125893617
491	4	NEAS	0.04436683
492	4	NEAS	0.24122549
493	4	EUR	0.01187464
494	4	NEAS	0.135424039
495	4	NAM	0
496	4	SEAS	0.124396296
497	4	SEAS	0.013479321
498	4	AFR	0.045421731
499	4	LAM	0.012728054
500	4	LAM	0.032963168
501	4	AUS	0.032261062
502	4	NEAS	0.148507424
503	4	AFR	0.000650706
504	4	AUS	0.212319182
505	4	AFR	0.024157204
506	4	NEAS	0
507	4	NEAS	0.094767007
508	4	LAM	0.010862963
509	4	SEAS	0.094984346
510	4	NAM	0.344634503
511	4	AFR	0.031711233
512	4	NAM	0
513	4	LAM	0.084765807
514	4	AFR	0.079713675
515	4	LAM	0.087258681
516	4	SEAS	0.037378086
517	4	LAM	0.041625
518	4	NAM	0.045664352
519	4	NAM	0.034732275
520	4	NAM	0.158289982
521	4	AFR	0.014273174
522	4	EUR	0.043896026
523	4	NAM	0.09807931
524	4	LAM	0.314852041
525	4	SEAS	0.05295308
526	4	SEAS	0.033879473
527	4	EUR	0.045365661
528	4	SEAS	0.048945365
529	4	NAM	0
530	4	LAM	0.042281081
531	4	NEAS	0.031979235
532	4	AFR	0.028339779
533	4	AFR	0.023701087
534	4	NAM	0.066951258
535	4	AFR	0.065758347
